,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
3399,A3619,"['Neiko 10197A Titanium Step Drill Bit Set, High Speed Steel | 5-Piece Set | Total 50 Sizes', 'Excellante 24-Inch Standard Mixing Paddle', 'KleenKover Carpet Film Temporary Carpet Protection 24"" X 200\' Reverse Wind - Made in USA', 'Angel Premium TENS/EMS Unit 40 Electrode Pads 2""x2"" in. Reusable Self Stick Gel Carbon Electrodes', 'Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000']","eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black","[248, 2205, 2353, 429, 2383]",2703,"['<a_224><b_237><c_164>', '<a_109><b_157><c_238>', '<a_68><b_27><c_84>', '<a_122><b_145><c_237>', '<a_107><b_35><c_49>']",<a_223><b_126><c_0>
3400,A6498,"['iRobot Roomba 770 Robotic Vacuum Cleaner', 'SharkNinja Rocket DeluxePro Ultra-Light Upright Corded Stick Vacuum, Bordeaux', 'Keeper (07512) Koastal 12\' x 1-1/2"" Lashing Strap with Protective Cover, (Pack of 2)']",HHIP 4401-0811 Mini Universal Magnetic Base with Fine,"[2351, 38, 794]",1374,"['<a_24><b_91><c_229>', '<a_24><b_170><c_144>', '<a_71><b_225><c_89>']",<a_104><b_85><c_106>
3401,A7286,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow', 'Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'Inland 1.75mm Blue PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters', 'Inland 1.75mm Black ABS 3D Printer Filament - 1kg Spool (2.2 lbs)', 'Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green', 'Inland 1.75mm Silver PLA 3D Printer Filament - 1kg Spool (2.2 lbs)']",HICTOP 5 Pieces 3D Printer Endstops/ Limit Switch/ Mechanical Switch for Reprap Prusa I3,"[1851, 2912, 2932, 2730, 3572, 2979, 2158, 3113]",3440,"['<a_223><b_198><c_9>', '<a_158><b_72><c_141>', '<a_158><b_72><c_219>', '<a_223><b_147><c_197>', '<a_158><b_72><c_160>', '<a_158><b_72><c_88>', '<a_223><b_126><c_115>', '<a_158><b_72><c_139>']",<a_91><b_89><c_10>
3402,A7467,"['3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'Inland 1.75mm Orange PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D 1.75mm PETG Green Filament 1kg (2.2lb), PETG 3D Printer Filament, Semi-Transparent 1.75mm Green', '3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG)']",Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),"[2161, 3546, 2158, 3681]",2912,"['<a_223><b_80><c_140>', '<a_158><b_72><c_76>', '<a_223><b_126><c_115>', '<a_223><b_80><c_216>']",<a_158><b_72><c_141>
3403,A7231,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue","[562, 1847, 3016, 2058, 1850]",50,"['<a_223><b_198><c_37>', '<a_223><b_20><c_170>', '<a_223><b_201><c_101>', '<a_223><b_198><c_34>', '<a_223><b_198><c_182>']",<a_223><b_198><c_36>
3404,A2443,"['Duck Brand Standard Packaging Tape Refill, 1.88 Inch x 54.6 Yard, Clear, 1 Roll (240408)', 'LeHigh Crawford 4 Bin Pegboard Tool and Parts Tray #PT16', 'Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion']","The Hillman Group 370326 Ribbed Plastic Anchor, 4-6-8 X 7/8-Inch, Yellow, 100-Pack","[773, 2443, 84]",1862,"['<a_202><b_18><c_120>', '<a_42><b_5><c_69>', '<a_104><b_186><c_66>']",<a_224><b_104><c_4>
3405,A2068,"['CRC 5037 White Lithium Grease - 10 Wt Oz.', '3M 90128-00001, 18"" Professional Quality Non Reflective  Safety Cone, 1-Pack,3M,90128-00001"" />', '3M 90128-00001, 18"" Professional Quality Non Reflective  Safety Cone, 1-Pack,3M,90128-00001"" />', 'Red Devil 077020 Lifetime Ultra Premium Elastomeric Acrylic Latex Sealant, 10.1-Ounce, Almond', '#1 Best Quality Zinc Self Drilling Drywall Anchors with Screws Kit, 100 Pieces All Together']","Duck Brand EZ Start Packing Tape With Dispenser, 1.88 Inch x 22.2 Yard, Clear, 1 Roll (393185)","[55, 783, 783, 1941, 2375]",724,"['<a_173><b_209><c_251>', '<a_68><b_204><c_73>', '<a_68><b_204><c_73>', '<a_244><b_16><c_145>', '<a_17><b_171><c_121>']",<a_202><b_55><c_251>
3406,A4331,"['Red Devil 0325 Steel Wool, 2 Medium Course, 8 Pads', 'Industrial & Scientific"" />', 'Tach-It B-1 Single Edge Industrial Razor Blade (Pack of 100)', 'CMT 529.095.31 Plug Cutter, 3/8-Inch Minor Diameter, 49/64-Inch Diameter, 1/2-Inch Shank']",Wixey WR365 Digital Angle Gauge and Level,"[123, 98, 220, 1675]",2540,"['<a_173><b_194><c_4>', '<a_15><b_155><c_49>', '<a_17><b_91><c_139>', '<a_193><b_218><c_44>']",<a_104><b_196><c_31>
3407,A3439,"['Tygon F-4040-A PVC Fuel And Lubricant Tubing, 1/2"" ID, 3/4"" OD, 1/8"" Wall, 10\' Length, Yellow', '1 Mil Kapton Tape (Polyimide) - 1/2"" X 36 Yds', 'White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25\' Length', 'White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10\' Length', 'KORAD KA3005D - Precision Variable Adjustable 30V, 5A DC Linear Power Supply Digital Regulated Lab Grade']","Bob Smith Industries BSI-131H Insta-Cure Thin Super Glue, 1 oz.","[1410, 3484, 93, 94, 1622]",1388,"['<a_206><b_36><c_144>', '<a_79><b_243><c_129>', '<a_228><b_158><c_82>', '<a_228><b_158><c_11>', '<a_30><b_149><c_236>']",<a_165><b_157><c_233>
3408,A7656,"['ROBO 3D R1 Plus 10x9x8-Inch ABS/PLA 3D Printer, White (A1-0002-000)', 'Proto-pasta CFP11705 The Original Carbon Fiber Spool , PLA 1.75 mm, 500 g , Black', 'Filabot XTC24 XTC-3D High Performance Print Coating, 24 oz, Clear', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray']",Smooth-On XTC-3D High Performance 3D Print Coating - 24oz. Unit,"[2145, 2204, 3089, 2058]",1123,"['<a_197><b_62><c_112>', '<a_223><b_89><c_223>', '<a_223><b_201><c_15>', '<a_223><b_198><c_34>']",<a_223><b_197><c_42>
