,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
1133,A7523,"['3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS', 'Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs)']",3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG),"[2909, 2734]",3631,"['<a_223><b_80><c_84>', '<a_158><b_72><c_232>']",<a_223><b_80><c_0>
1134,A6893,"['uxcell 10 Pcs 5mm Male Thread 4mm Push In Joint Pneumatic Connector Quick Fittings', '2 Meters PTFE Teflon Bowden Tube 1.75 Filament 3D printer RepRap Rostock Kossel', 'XYZprinting Handheld 3D Scanner 1.0 Pro']","3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS","[2662, 2513, 1131]",2909,"['<a_108><b_61><c_177>', '<a_158><b_138><c_227>', '<a_91><b_90><c_0>']",<a_223><b_80><c_84>
1135,A4401,"['RhinoGear 11912ABMI RhinoRamps MAX Vehicle Ramp - Pair (16,000lb. GVW Capacity)', '520 Piece Electrical Terminal Assortment with Storage Box', 'ABN Assorted Heat Shrink Tubing, Wire Wrap, Cable Sleeve Kit &ndash; To Protect and Reinforce Any Wire Connection - 127-Piece', 'DuPont Teflon Non-Stick', 'DuPont Teflon Silicone Lubricant', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator']","AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[836, 214, 3056, 139, 140, 181]",181,"['<a_87><b_242><c_12>', '<a_67><b_156><c_55>', '<a_17><b_187><c_1>', '<a_197><b_204><c_0>', '<a_173><b_201><c_145>', '<a_107><b_93><c_0>']",<a_107><b_93><c_0>
1136,A7634,"['4 - Red 12"" Tire Premium Skates Wheel Car Dolly Ball Bearings Skate Makes Moving A Car Easy Furniture Movers', 'Bob Smith Industries BSI-157H Maxi Cure/Insta-Set Combo Pack (3 oz. Combined)', 'wall26 Reflective Student Driver Magnetic Car Signs(Set of 3) Safety Caution Sign', 'Yueton&reg; 100pcs Yellow 12/10-Gauge Economy Nylon Male Fully-Insulated Quick Disconnects Wiring Spade Wire Crimp Terminal']",Hilitchi 100pcs 12-10 Gauge Butt Insulated Splice Terminals Electrical Wire Crimp Connectors (Yellow / 12-10AWG),"[566, 2096, 987, 2617]",3157,"['<a_158><b_241><c_101>', '<a_99><b_13><c_12>', '<a_206><b_62><c_23>', '<a_67><b_23><c_20>']",<a_67><b_160><c_1>
1137,A759,"['AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'Pro Flex Super Flexible Elastomeric Sealant Acrylic Clear Paintable 10 Oz', 'E6000 230022 Medium Viscosity Auto/Industrial Adhesive, 3.7 fl oz', 'E6000 230022 Medium Viscosity Auto/Industrial Adhesive, 3.7 fl oz', '3M Multi-Use Duct Tape, 2930-C, 1.88 Inches by 30 Yards', '3M Multi-Use Duct Tape, 2930-C, 1.88 Inches by 30 Yards', 'Stanley Hardware 75-6111 Corner Braces', 'Bercom BER-2520-CT INC 6PK Handy 2520-CT Paint Pail Liners, 6-Count, Clear', 'Sticky Ass Tape SAT 1.81-Inch by 35 yards Tape', 'Remington Industries 22UL1007STRWHI UL1007 22 AWG Gauge Stranded Hook-Up Wire, 300V, 0.0253"" Diameter, 100\' Length, White']","Covidien 6818 Webcol Alcohol Prep, Sterile, Medium, 2-Ply (Pack of 200)","[182, 682, 2050, 2050, 154, 154, 830, 113, 2051, 955]",787,"['<a_107><b_93><c_0>', '<a_244><b_254><c_56>', '<a_165><b_221><c_145>', '<a_165><b_221><c_145>', '<a_202><b_160><c_244>', '<a_202><b_160><c_244>', '<a_71><b_164><c_104>', '<a_197><b_126><c_251>', '<a_202><b_7><c_0>', '<a_67><b_152><c_2>']",<a_44><b_98><c_14>
1138,A2564,"['Super Lube 41160 Synthetic Grease (NLGI 2), 14.1 oz Canister, Translucent White', 'Stainless Steel 316L Seamless Round Tubing, 1/8"" OD, 0.027"" ID, 0.049"" Wall, 12"" Length', 'Stainless Steel 316L Seamless Round Tubing, 1/8"" OD, 0.027"" ID, 0.049"" Wall, 12"" Length', 'STMicroelectronics LM317T LM317 Adjustable Voltage Regulator IC 1.2V To 37V 1.5A 1 Pack', 'Top-cofrLD 1/4w Resistors Pack 164 values x 10pcs = 1640pcs 0-22M Metal Film Full range resistors Assortment Kits', 'Electronics-Salon 0.47uF to 1000uF Electrolytic Capacitors Assortment Kit, 13 Values, Total 200 Pieces', 'Pack of 12 3/8"" - 24 Fittings for 3/16"" tube', 'Anderson Metals Brass Pipe Fitting, 45 Degree Barstock Street Elbow, 1/8"" Female Pipe x 1/8"" Male Pipe', 'Electronics-Salon 20PCS Double-Side Prototype Board PCB, FR-4 Glass Fiber(50x70mm 5PCS, 40x60mm 5PCS, 30x70mm 5PCS, 20x80mm 5PCS)', '2W Metal Film Resistor Assorted Kit 1% tolerance 30Values 300pcs']","Gardner Bender GHG-1538 5PK 3/8"" Grommet, Black","[1670, 1826, 1826, 1779, 1545, 1566, 3119, 2468, 3332, 2613]",2671,"['<a_173><b_11><c_28>', '<a_17><b_120><c_201>', '<a_17><b_120><c_201>', '<a_30><b_229><c_21>', '<a_73><b_183><c_142>', '<a_236><b_183><c_115>', '<a_108><b_253><c_213>', '<a_108><b_1><c_3>', '<a_158><b_255><c_165>', '<a_73><b_183><c_171>']",<a_71><b_49><c_117>
1139,A4131,"['Kimberly-Clark Professional 55083 PURPLE NITRILE Exam Gloves, 242 mm Length, Large, Purple (Box of 100)', 'Haylard Health Purple Nitrile Exam Gloves, Large, 100 Count', 'KIM50601 - KIMBERLY CLARK PURPLE NITRILE Exam Gloves']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[677, 1991, 3341]",119,"['<a_44><b_46><c_248>', '<a_44><b_218><c_75>', '<a_44><b_233><c_96>']",<a_210><b_156><c_39>
1140,A7249,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', '3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', '3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', '2 Meters PTFE Teflon Bowden Tube 1.75 Filament 3D printer RepRap Rostock Kossel']","3D Printer Head(6PCS),6PCS 3D Printer 0.4mm Extruder Brass Nozzle Print Head for MK8 1.75mm ABS PLA Printer(0.4mm)","[562, 3475, 3494, 2513]",3216,"['<a_223><b_198><c_37>', '<a_223><b_80><c_23>', '<a_223><b_80><c_101>', '<a_158><b_138><c_227>']",<a_91><b_105><c_98>
1141,A4896,"['VIVOSUN 6 Inch 440 CFM Inline Duct Ventilation Fan with Variable Speed Controller', 'XFasten Professional Aluminum Foil Tape, 3.6 mil, 2 Inches x 55 Yards HVAC Tape', ""GROW1 Panda Film, 10' x 25', Poly 5.5 mil, Black/White"", 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator']","AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","[2807, 1527, 2889, 181]",181,"['<a_158><b_91><c_208>', '<a_202><b_232><c_177>', '<a_68><b_112><c_219>', '<a_107><b_93><c_0>']",<a_107><b_93><c_0>
1142,A3857,"['Bob Smith Industries BSI-135H Maxi-Cure Extra Thick Super Glue, 1 oz.', 'JIUWU 1.0mm Tungsten Steel Carbide PCB CNC End Mill Engraving Bits Milling Machine Pack of 10', 'Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black', 'Millrose 70660 Monster Roll PTFE Thread Seal Tape, 1/2-Inch x 260-Inch, Blue']","HDPE (High Density Polyethylene) Sheet, Opaque Off-White, Standard Tolerance, ASTM D4976-245, 0.125"" Thickness, 12"" Width, 24"" Length","[1386, 2464, 338, 437]",499,"['<a_99><b_94><c_215>', '<a_17><b_118><c_23>', '<a_107><b_90><c_50>', '<a_170><b_4><c_100>']",<a_79><b_114><c_225>
