,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
2266,A320,"['Sparco Compact Luggage Cart, 150 lbs, Capacity, Open 14-3/4 x 13-3/4 x 35 Inches, CE (SPR01753)', 'Pro Gaffer Gaffers Tape, 2 in x 55 yd, Black', 'General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets', 'ProTapes Pro Duct 100 PE-Coated Cloth Economy Duct Tape, 60 yds Length x 2"" Width, Black (Pack of 1)', 'WD-40 Multi-Use Product with SMART STRAW&nbsp;SPRAYS 2 WAYS 8 OZ', 'NIBCO 406 Series PVC Pipe Fitting, 90 Degree Elbow, Schedule 40, 1-1/2"" Slip', 'Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White', '#1 Best Quality Wood Screw Assortment Kit, 240 Pieces', 'LASCO 11-1033 PTFE Pipe Sealant Tape, 1/2-Inch x 100-Inch, White']","Anderson Metals 56110 Brass Pipe Fitting, Hex Bushing, 1/2"" NPT Male Pipe x 3/8"" NPT Female Pipe","[1176, 991, 352, 567, 280, 1015, 719, 923, 160]",1177,"['<a_210><b_116><c_2>', '<a_202><b_25><c_167>', '<a_71><b_70><c_24>', '<a_202><b_62><c_99>', '<a_173><b_197><c_47>', '<a_108><b_199><c_235>', '<a_99><b_53><c_168>', '<a_224><b_63><c_35>', '<a_79><b_87><c_179>']",<a_108><b_133><c_2>
2267,A3370,"['HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood', 'PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', 'PEI (Polyetherimide) Sheet, Opaque Off-White, Standard Tolerance, ASTM D5205 PEI0113, 0.03"" Thickness, 12"" Width, 24"" Length', '3M 468MP Adhesive Transfer Tape, 4"" width x 5yd length (1 roll)', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Micro Swiss MK10 All Metal Hotend Kit .4mm Nozzle WANHAO, FlashForge, Dremel Idea Builder', 'eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue', 'MG Chemicals Blue PETG 3D Printer Filament, 1.75 mm, 1 kg Spool', 'eSUN 3D 1.75mm PETG Red Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Red', 'Mercurry GT2 Timing Belt Torsion Spring For 3D Printer 6mm Width Belt Pack of 10']",NinjaFlex TPU Flexible Filament 1.75mm 50g Midnight (black),"[3016, 1205, 1205, 2871, 444, 2500, 2157, 3509, 3510, 3367]",3478,"['<a_223><b_201><c_101>', '<a_17><b_62><c_227>', '<a_17><b_62><c_227>', '<a_202><b_82><c_207>', '<a_223><b_198><c_114>', '<a_91><b_10><c_71>', '<a_223><b_126><c_16>', '<a_223><b_126><c_247>', '<a_223><b_126><c_2>', '<a_23><b_158><c_111>']",<a_223><b_242><c_201>
2268,A1234,"['Uxcell a12081400ux0336 5 x Momentary SPST NO Red Round Cap Push Button Switch, AC 6 Amp/125V, 3 Amp/250V', '3M Scotch 2120-A Tough Transparent Duct Tape, 1.8-Inch, 20 yds', 'Stanley Wet/Dry Vacuum, 1 Gallon, 1.5 Horsepower', 'Walter Surface Technologies 53L350 Trigger Sprayer - Refillable Empty Spray Bottle. Janitorial Supplies', 'Rectorseal 97606 4-Ounce Ep-400 Epoxy Putty', 'Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear', 'Bob Smith Industries BSI-151H Insta-Set Super Glue Accelerator, 2 fl. oz.']","HATCHBOX 3D ABS-1KG1.75-BLU ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue","[1810, 200, 704, 1580, 254, 57, 1733]",2419,"['<a_236><b_35><c_0>', '<a_206><b_9><c_216>', '<a_24><b_2><c_14>', '<a_150><b_212><c_127>', '<a_244><b_137><c_240>', '<a_165><b_247><c_68>', '<a_99><b_13><c_36>']",<a_223><b_198><c_3>
2269,A5703,"['SCIGRIP 16 Acrylic Cement, Low-VOC, Medium bodied, 1 Pint Can with Screw-on Cap, Clear', 'uxcell 5 Pieces ZP4510 Liquid Water Level Sensor Vertical Float Switches', 'SOLOOP 50pcs Female & Male Fully Insulated Wire Terminals Connector Nylon Spade Connectors Blue', 'FeelGlad(TM)5pcs Titanium Step Drill Bits Set with Aluminum Case', 'RMP .125 3003 H14 Aluminum Sheet 12"" x 12', 'Aluminum 6061-T6 Seamless Round Tubing, WW-T 700/6, 1-1/8"" OD, 1.009"" ID, 0.058"" Wall, 12']","Uxcell a13052700ux0220 6mm to 8mm Bore Rigid Copper Motor Coupling Coupler W Tight Screws, Rubber","[3571, 1832, 1033, 788, 1305, 1543]",1387,"['<a_165><b_219><c_42>', '<a_236><b_154><c_181>', '<a_67><b_13><c_33>', '<a_224><b_247><c_177>', '<a_251><b_111><c_10>', '<a_251><b_0><c_134>']",<a_23><b_238><c_129>
2270,A4936,"['AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'STM Stainless Tumbling Media - 5 lbs - Ammo Reloading Supplies']",Whirlpool 9709231 Replacement Gear Parts,"[181, 181, 182, 893]",3265,"['<a_107><b_93><c_0>', '<a_107><b_93><c_0>', '<a_107><b_93><c_0>', '<a_159><b_76><c_174>']",<a_109><b_60><c_185>
2271,A6025,"['Industrial & Scientific"" />', 'Control Devices Brass Ball Check Valve, 1/4"" NPT Female x NPT Male', 'Hantek 1008C PC USB 8CH Automotive Diagnostic Digital Oscilloscope/DAQ/Programmable Generator', 'Signstek 2PCS P6100 100 MHz Oscilloscope Probe for Rigol Atten Owon Siglent', 'Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000', 'POR-15 40204 Metal Prep - 1 quart', 'uxcell 100 Pcs Zinc Plated Carbon Steel Rivet Nut Flat Head Insert Nutsert 1/4-20UNC', 'Uxcell a13102800ux0447 3V CR2032/ CR2025 Cell Battery Adapter Black Silver Tone (Pack of 10)']","Drill America DWTSMT15X1.5 HSS Metric Tap, Special Size, M15 x 1.5","[698, 3027, 2387, 1722, 2383, 46, 2130, 3411]",1171,"['<a_15><b_238><c_102>', '<a_108><b_152><c_2>', '<a_36><b_132><c_182>', '<a_36><b_188><c_124>', '<a_107><b_35><c_49>', '<a_173><b_82><c_3>', '<a_224><b_253><c_139>', '<a_73><b_181><c_165>']",<a_224><b_109><c_0>
2272,A4394,"['Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)', 'DuPont Teflon Non-Stick', 'Gorilla Tape, White Duct Tape, 1.88"" x 30 yd, White, (Pack of 1)', 'DuPont Teflon Silicone Lubricant']","Gorilla 100 Percent Silicone Sealant Caulk, 2.8 ounce Squeeze Tube, Clear","[151, 139, 451, 140]",2044,"['<a_68><b_98><c_239>', '<a_197><b_204><c_0>', '<a_202><b_52><c_151>', '<a_173><b_201><c_145>']",<a_244><b_52><c_0>
2273,A5721,"['Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A', 'Shoreline Marine GOOP, 3.7-Ounce, Clear', 'Fulton WS20HD0600 Heavy Duty Trailer Winch Strap with Hook 2"" x 20\'', 'Dap 18370 Self-Leveling Concrete 3.0 Sealant 9.0-Ounce']","MedPride Powder-Free Nitrile Exam Gloves, Medium, Box/100","[502, 213, 1904, 517]",1830,"['<a_73><b_9><c_0>', '<a_122><b_156><c_152>', '<a_87><b_46><c_249>', '<a_244><b_59><c_105>']",<a_44><b_218><c_40>
2274,A1663,"['Arctic Silver 5 AS5-3.5G Thermal Paste', 'C&E Digital Optical Coax to Analog R/L audio converter']","Industrial & Scientific"" />","[395, 1389]",863,"['<a_79><b_24><c_40>', '<a_36><b_103><c_152>']",<a_15><b_10><c_53>
2275,A6808,"['SainSmart L293D Motor Drive Shield For Arduino Duemilanove Mega UNO R3 AVR ATMEL', 'URBEST 328 Pcs Assorted Heat Shrink Tube 5 Colors 8 Sizes Tubing Wrap Sleeve Set Combo (328PCS)', '5 Pcs Dual Row 5 Position Screw Terminal Strip 600V 15A', 'AIRSUNNY three Legs 5 pairs Infrared Diode LED IR Emission and Receiver', 'uxcell Metal Nut LED Mounting Holder Panel w 3mm 50 Pieces Black', 'Hilitchi 635 Pcs 40 Pin 2.54mm Pitch Single Row Pin Headers,Dupont Connector Housing Female,Dupont Male/Female Pin Connector Kit']",Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,"[2767, 170, 1190, 2401, 389, 2924]",2151,"['<a_30><b_108><c_233>', '<a_228><b_45><c_149>', '<a_73><b_87><c_52>', '<a_30><b_65><c_86>', '<a_23><b_124><c_77>', '<a_73><b_244><c_79>']",<a_91><b_115><c_103>
